mu,omega,alpha[1],beta[1]
0.028335070894587144,0.013322454619207494,0.10858011022612243,0.8856703190058872
0.0652926632034344,0.03132783362544936,0.1506008502675778,0.8464510752583526
0.0870997200115308,0.03820313403838016,0.19418629402769608,0.8023469747532745
0.057845248997065626,0.021846502385213108,0.15236229036119867,0.8421779955699844
0.03673290922710061,0.03307995177600758,0.15421227183902345,0.8384080683273225
0.05110790820898438,0.023493464474031372,0.14070224791635644,0.8560967373025388
0.053662441642753966,0.02461274382684023,0.1566148983315085,0.8365200592380765
0.07254870774385687,0.023156071254042922,0.15893376373858928,0.8356077169165349
0.08008647151991606,0.022737404477094367,0.16501888862725878,0.8317167102686157
0.061419029863668324,0.033086059492726624,0.18036256809297713,0.8081321164877395
0.05969193458667296,0.015329911950336037,0.1437613238268951,0.8512184491075347
0.05942792322125281,0.03400175433555497,0.16972931187388124,0.8192258834972482
0.0662628430925422,0.027750124779432728,0.16189481225413935,0.8365235663901673
0.09106548647724082,0.029479120928994212,0.16497559752543944,0.8259957448612806
0.059399854841925566,0.04074024149335434,0.17156991380305817,0.8203709751217471
0.0567317720317167,0.03198967254626838,0.18641350440136434,0.810943649679087
0.09794872025958884,0.041070631600173116,0.18090981985248297,0.8107210531853835
0.08370205627401393,0.025789807234775232,0.1425336323873776,0.8441910018863272
0.0730142986050046,0.026059294022907617,0.16404750879763655,0.8347117091831973
0.03493236245791602,0.03346383779384979,0.1607702466969385,0.8329364884440582
0.0650078333345223,0.027157050491725388,0.1565826841410369,0.8388720889937004
0.07907020753384864,0.025427949964543235,0.14758682199385922,0.8472675180869667
0.08546808502047168,0.04867116031258747,0.19658598092210627,0.7944059110165366
0.08000039748139585,0.04083223305686371,0.17688099026690626,0.8201369717646578
0.06535198627796364,0.03872168759957736,0.1760692737265065,0.8163906777430068
0.07635046933659974,0.03849426001847844,0.18072426997677316,0.8131374585901223
0.06168120400597274,0.0340307556181361,0.15165247893888464,0.8337132119239563
0.06823359436409183,0.034432639243503885,0.16799002434030788,0.8189922255603257
0.03715628788398941,0.03802568332346998,0.187004706011881,0.8050313892214973
0.07784962922934756,0.03101345737700374,0.16493948910526682,0.8278069503500709
0.08334325100101372,0.027944909406243522,0.1616663077689547,0.8296682415641445
0.047119949273991546,0.03561898282654567,0.1471283308816986,0.8446098649699464
0.07123000607969465,0.034430791830775055,0.16508991816485788,0.8251902040675995
0.04803481386407993,0.02532556102627595,0.1773246586444597,0.8205380808749235
0.09330393419693186,0.02631472788702329,0.13988878260488444,0.8450406230196507
0.07994174871237868,0.041890064230961616,0.18572417844482292,0.8022402081438179
0.03461252915004563,0.03648730745891284,0.1858949825129953,0.8098439819943242
0.07778908740363918,0.03354644188430099,0.1914912297193449,0.8050916354644223
0.08516384729019663,0.0337675846505804,0.1694842704509501,0.8242784526402169
0.04533566437338494,0.02698468984896585,0.15257601966027898,0.8452833672616096
0.0175867059567067,0.030206935176780116,0.14614715497541125,0.8329514297688088
0.08412134012562977,0.02686221844940153,0.17281086900234294,0.8226184816561561
0.04658295918158681,0.025850061013915557,0.16605308497134003,0.8316356121138649
0.07074504747859674,0.026138724977827203,0.18857703329490388,0.8095298984483347
0.03769973851001002,0.028041406941763162,0.1733604368949016,0.825205078270176
0.10089671415304005,0.032222960690062974,0.17734243342583683,0.8214945896740513
0.0609716000041545,0.040160143649552615,0.1937671097275563,0.7978632360044144
0.043573725522886006,0.02218456205807563,0.147708285268017,0.8500591819650698
0.054971632647001126,0.02679248734767412,0.16127525773080795,0.8373321479421831
0.07612843707400545,0.03384965135433104,0.1748613719984735,0.8209485204259419
0.0799695058422353,0.02857265137399047,0.17076495926622356,0.8278182997267092
0.07606148892335166,0.04969823646371555,0.19139920744363648,0.7966230830239385
0.05637376953473669,0.028223155316199525,0.15979107413773133,0.8368510213628161
0.06375341714950704,0.03380590470178137,0.1757222627157607,0.8177077460089126
0.04675564519432472,0.03886246666861362,0.17786638379555872,0.8178622306425358
0.056828998194997586,0.03535610804049899,0.1702369951262566,0.8249111258181647
0.08826900777883445,0.03352294495453237,0.18670714756301515,0.8079309548778911
0.06442937597365689,0.03345864710099458,0.14430831422199428,0.8441396765632946
0.05567735840784573,0.033884908095594926,0.16212808641001897,0.8330597014118912
0.053220611445107875,0.03038630368857803,0.16265529532665285,0.833687648629737
0.046480972624619483,0.037505862965769195,0.18276709823317291,0.8013905463804126
0.058144217461150866,0.0342648511799953,0.15334578571255986,0.8342873198715812
0.07448231088974784,0.030913955661892707,0.1363331109087825,0.8476155394210347
0.05454883488560331,0.043302212425275204,0.18686185921850834,0.8067885808615424
0.047797695913037994,0.031590179813684886,0.15710657824695967,0.8312819190437
0.037989004558753196,0.029224465827340257,0.1745662860546471,0.8223618583014743
0.09831193838209609,0.03763312822951168,0.1873810481579138,0.8099306810674929
0.06453751581808546,0.036078490993922005,0.16458974162123197,0.8265799451090101
0.06087832757351157,0.0213446724817376,0.15296876290011774,0.8428748249028942
0.06782867352657479,0.039548872866030566,0.1974706397695003,0.7944512722585167
0.07517877127754918,0.019925149947287845,0.1433397120215867,0.8547741507244278
0.07554923505751024,0.03429617919591905,0.17407222212298518,0.8243655079811076
0.05911564932682404,0.03684224660008568,0.16114857263998894,0.8237751869689411
0.07202611651510103,0.03651600322140863,0.17637229583449107,0.8201105915488386
0.06648659285132388,0.024937870910202196,0.14363908877392442,0.8509282829206305
0.07007535650181536,0.03952962328445719,0.1532222217751658,0.8286990175206628
0.06210704203316847,0.045021799824902384,0.15396505927604806,0.8272952824903612
0.051393714062252814,0.03793088002606365,0.1791554943913322,0.817969782526779
0.052117107168951265,0.030105870288420745,0.15363764672497415,0.8371972107639468
0.05297980002120206,0.041510071382920066,0.1685550651105763,0.8219589477660961
0.08526329174955255,0.035140173460117385,0.1366341902362098,0.8385968973888495
0.04743220273422193,0.03427708041018727,0.1680531764026125,0.8268869249111298
0.07284765051121216,0.0276053492307109,0.15064141552017285,0.8427134620745451
0.07155110945623269,0.03821087506569624,0.19472015575287688,0.8012839766951535
0.06876131888448538,0.01757031881019159,0.1213105419118089,0.8705128588018543
0.06959621788220553,0.032559596884756764,0.17804768123966982,0.8121254530054342
0.06657091147096506,0.027281683241103704,0.16606750493715178,0.8304853626900325
0.06484364690379614,0.03403424718328751,0.1733626897711291,0.8253649350729733
0.057449733048932396,0.031585921481386864,0.15000271691179004,0.8459858287185871
0.06393247344324719,0.022688244071086973,0.16361223987498763,0.8336889147645001
0.05326006218269501,0.02830644465600218,0.16044775707505868,0.833939776030457
0.07323361555595156,0.03725170615564427,0.18300649404917102,0.8151110361894014
0.06372581799012139,0.015297599342133848,0.1191575536003257,0.873728472243819
0.02587763071081689,0.031257009010322405,0.14655270876205007,0.8398928460847392
0.06938319123182403,0.033169454298042744,0.1527490982436732,0.8401654177696085
0.060757609161971406,0.045225652081673534,0.20630092069219289,0.787995902145432
0.07740446183983613,0.027551969447148092,0.15065917530492015,0.8433264555496325
0.06446996292168672,0.04127392228573366,0.19394708472564504,0.7962323825078375
0.07844604444051269,0.01863627055339235,0.1460661042739316,0.8421521625489127
0.09990769822750967,0.027643985836238175,0.1845415150937701,0.810783261186136
0.06280282258050612,0.027428046152133477,0.13593685252294216,0.8564418646097007
0.03773440605559636,0.029391557894574042,0.1460070603851022,0.8523155129404982
0.0558901523704033,0.029760402181298003,0.1374881944072365,0.8562974745000388
0.05770066331445416,0.03753047888335353,0.14835146950059164,0.8369151621739611
0.06649829042756418,0.025247000955339924,0.1358979507371684,0.8584802691447186
0.06280673032185166,0.02344289407449851,0.13615692940136936,0.8605816395072704
