year,strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
2019,Buy & Hold,0.07669124072870703,0.07732790563563641,0.10846989377077414,0.7408488116131684,1.063860790152407,1.0741954969506602,-0.07198680859782847,158.0,20.272727272727273,-0.010165233421961661,-0.015727282599871287,-0.02810316173084282,0.07669124072870703,0.512,0.0053212254561759605,-0.00492946592312128,1.132561854741403,0.0,0.0,1.0,1.0,1.0653513084204218,0.07669124072870703,68.45000000000005,1.0,1.0,0.07669124072870703,68.45000000000005,250.0
2020,Buy & Hold,0.148680007076037,0.148680007076037,0.2279122808179297,0.72316846792293,0.7364649794029966,0.44367277596872196,-0.3351118552437814,208.0,20.545454545454547,-0.028300976335435702,-0.04162787604197607,-0.24899398088847058,0.148680007076037,0.6190476190476191,0.008135969585458532,-0.011504086254079254,1.1492395210164628,0.0,0.0,1.0,1.0,0.44367277596872196,0.148680007076037,142.87999999999988,1.0,1.0,0.148680007076037,142.87999999999988,252.0
2021,Buy & Hold,0.3572975078587155,0.3606187519986801,0.21076936036027308,1.567951793623158,1.647417263587683,2.529372216826169,-0.14257243342823656,80.0,10.68421052631579,-0.024464986951887306,-0.037167395827752935,-0.06993006993006967,0.3572975078587155,0.616,0.008417781412569828,-0.010088385082034803,1.3385218981556897,0.0,0.0,1.0,1.0,2.5060770814335593,0.3572975078587155,394.4100000000001,1.0,1.0,0.3572975078587155,394.4100000000001,250.0
2022,Buy & Hold,-0.327835918519903,-0.3310453291323707,0.24825185645133474,-1.4937950928372121,-1.9141300119006848,-0.8205782002559998,-0.403429348999392,246.0,123.5,-0.03219567413847348,-0.04056130871080786,-0.11589132455037421,-0.327835918519903,0.4939759036144578,0.009891939954407144,-0.012564534034408287,0.7685456180146409,0.0,0.0,1.0,1.0,-0.8126228776687169,-0.327835918519903,-491.18999999999994,1.0,0.0,-0.327835918519903,-491.18999999999994,249.0
2023,Buy & Hold,0.12197519586134531,0.1235320450077606,0.16998619518259075,0.7704158344321675,0.938631809403881,0.7080169437999447,-0.1744761140104374,93.0,21.5,-0.016843733230362055,-0.02685677501865843,-0.10913659403023857,0.12197519586134531,0.5903614457831325,0.006980338585604995,-0.008791262391871644,1.1443066169443894,0.0,0.0,1.0,1.0,0.6990939507860003,0.12197519586134531,122.84000000000003,1.0,1.0,0.12197519586134531,122.84000000000003,249.0
2024,Buy & Hold,0.12111369730868438,0.12213951507153431,0.13530375982238102,0.9196358332576967,1.120374172021084,1.3663570584842846,-0.08939062766435668,141.0,18.166666666666668,-0.012304826526752577,-0.02071600993045982,-0.05807225350248024,0.12111369730868438,0.536,0.006078962549980938,-0.00595808911162314,1.1786077231574525,0.0,0.0,1.0,1.0,1.354881383800562,0.12111369730868438,136.8499999999999,1.0,1.0,0.12111369730868438,136.8499999999999,250.0
2025,Buy & Hold,0.4086818547814135,0.4145094305461605,0.2112764737556362,1.7485194626758855,1.8818667767162711,2.2891898316317243,-0.18107254576205245,47.0,8.08695652173913,-0.01809049580983362,-0.03450767369585655,-0.061643940437384415,0.4086818547814135,0.6104417670682731,0.008415096715206584,-0.009423417976346956,1.3993376224424825,0.0,0.0,1.0,1.0,2.2570061798239838,0.4086818547814135,517.71,1.0,1.0,0.4086818547814135,517.71,249.0
2026,Buy & Hold,0.04532387404804794,0.09755634703107319,0.21163793926529526,0.5455427073031647,0.701847029294444,0.595467344931487,-0.16383156500764584,73.0,22.0,-0.017871373936276934,-0.03277535864764536,-0.10947014619774187,0.04532387404804794,0.5083333333333333,0.00979350619964737,-0.009193628812106346,1.1013593943796087,0.0,0.0,1.0,1.0,0.27664921619916605,0.04532387404804794,80.87999999999988,1.0,1.0,0.04532387404804794,80.87999999999988,120.0
2006,MACD only,1.840563325153889,1.8765185566921034,0.24099722988101294,4.51267960645876,5.6940432410092,13.702562333424773,-0.13694654408648055,91.0,9.88888888888889,-0.017260247540832285,-0.030676384599262252,-0.062040219561317,1.840563325153889,0.37349397590361444,0.018577513026946924,-0.0108852061812004,2.645346786494425,14.0,14.16867469879518,0.5903614457831325,0.5903614457831325,13.440012943967314,3.1176888977096486,519.7480249999999,7.0,0.5714285714285714,0.17803285919716805,74.24971785714284,22.0
2007,MACD only,0.347352886707587,0.35384755869815043,0.15841498673462978,1.9917890101117515,2.4599414023107258,3.3037737488259586,-0.10710405300117631,87.0,37.5,-0.014061863463742497,-0.020412648336719446,-0.041493505047331736,0.347352886707587,0.23387096774193547,0.013160458943098776,-0.009633740203293075,1.685800739131611,13.0,13.20967741935484,0.39919354838709675,0.39919354838709675,3.243134848536237,0.8701365242775918,283.5614799999998,7.0,0.42857142857142855,0.04760779430172436,40.508782857142826,15.0
